ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,bid_sz_00,bid_ct_00,bid_px_01,bid_sz_01,bid_ct_01,bid_px_02,bid_sz_02,bid_ct_02,bid_px_03,bid_sz_03,bid_ct_03,bid_px_04,bid_sz_04,bid_ct_04,bid_px_05,bid_sz_05,bid_ct_05,bid_px_06,bid_sz_06,bid_ct_06,bid_px_07,bid_sz_07,bid_ct_07,bid_px_08,bid_sz_08,bid_ct_08,bid_px_09,bid_sz_09,bid_ct_09,ask_px_00,ask_sz_00,ask_ct_00,ask_px_01,ask_sz_01,ask_ct_01,ask_px_02,ask_sz_02,ask_ct_02,ask_px_03,ask_sz_03,ask_ct_03,ask_px_04,ask_sz_04,ask_ct_04,ask_px_05,ask_sz_05,ask_ct_05,ask_px_06,ask_sz_06,ask_ct_06,ask_px_07,ask_sz_07,ask_ct_07,ask_px_08,ask_sz_08,ask_ct_08,ask_px_09,ask_sz_09,ask_ct_09,symbol,order_id
2025-07-17T07:05:09.035793433Z,2025-07-17T07:05:09.035627674Z,10,2,1108,R,N,10,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T08:05:03.360842448Z,2025-07-17T08:05:03.360677248Z,10,2,1108,A,B,10,5.510000000,100,817593,165200,851012,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T08:05:03.360848793Z,2025-07-17T08:05:03.360683462Z,10,2,1108,A,A,10,21.330000000,100,817597,165331,851013,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T08:05:03.361492517Z,2025-07-17T08:05:03.361327319Z,10,2,1108,A,B,10,5.900000000,100,817633,165198,851022,5.90,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T08:05:03.361497823Z,2025-07-17T08:05:03.361332576Z,10,2,1108,A,A,10,20.940000000,100,817637,165247,851023,5.90,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T08:09:48.860862095Z,2025-07-17T08:09:48.860696464Z,10,2,1108,C,B,10,5.510000000,100,817593,165631,1289631,5.90,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,20.94,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T08:09:48.860870885Z,2025-07-17T08:09:48.860705588Z,10,2,1108,A,B,10,5.370000000,100,1263973,165297,1289632,5.90,100,1,5.51,100,1,5.37,100,1,,,,,,,,,,,,,,,,,,,,,,20.94,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T08:09:49.158061899Z,2025-07-17T08:09:49.157896784Z,10,2,1108,C,B,10,5.900000000,100,817633,165115,1290626,5.90,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,20.94,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T08:09:49.158069452Z,2025-07-17T08:09:49.157903443Z,10,2,1108,A,B,10,5.400000000,100,1264721,166009,1290627,5.90,100,1,5.51,100,1,5.40,100,1,,,,,,,,,,,,,,,,,,,,,,20.94,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T08:09:49.158069452Z,2025-07-17T08:09:49.157903798Z,10,2,1108,C,A,10,20.940000000,100,817637,165654,1290628,5.90,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,20.94,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T08:09:49.158074599Z,2025-07-17T08:09:49.157909054Z,10,2,1108,A,A,10,21.470000000,100,1264725,165545,1290629,5.90,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,20.94,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T11:00:00.125340914Z,2025-07-17T11:00:00.125174985Z,10,2,1108,C,B,10,5.370000000,100,1263973,165929,10583317,5.90,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,20.94,0,-1,21.47,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T11:00:00.125347247Z,2025-07-17T11:00:00.125182048Z,10,2,1108,A,B,10,9.790000000,100,12852457,165199,10583320,9.79,100,1,5.90,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,20.94,0,-1,21.47,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T11:00:00.125619742Z,2025-07-17T11:00:00.125454029Z,10,2,1108,C,B,10,5.400000000,100,1264721,165713,10583363,5.90,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,20.94,0,-1,21.47,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T11:00:00.125626050Z,2025-07-17T11:00:00.125460962Z,10,2,1108,A,B,10,9.840000000,100,12852537,165088,10583364,9.84,100,1,5.90,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,20.94,0,-1,21.47,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T11:00:07.975990221Z,2025-07-17T11:00:07.975824831Z,10,2,1108,C,A,10,21.330000000,100,817597,165390,10674471,5.90,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,20.94,0,-1,21.47,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T11:00:07.976003383Z,2025-07-17T11:00:07.975837956Z,10,2,1108,A,A,10,17.440000000,100,12983425,165427,10674472,5.90,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,20.94,0,-1,21.47,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T11:00:07.976138102Z,2025-07-17T11:00:07.975972618Z,10,2,1108,C,A,10,21.470000000,100,1264725,165484,10674473,5.90,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,17.44,0,-1,20.94,0,-1,21.47,0,-1,,,,,,,,,,,,,,,,,,,,,,ARL,0
2025-07-17T11:00:07.976144724Z,2025-07-17T11:00:07.975979367Z,10,2,1108,A,A,10,17.360000000,100,12983429,165357,10674474,5.90,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,17.44,0,-1,20.94,0,-1,21.47,0,-1,,,,,,,,,,,,,,,,,,,,,,ARL,0
